street,original,house_number,postal_code,city,full_address,wbz,bezirk,kandidat,farbe,wahlberechtigte,latitude,longitude
Alte Poststraße,Alte Poststraße,,51588,Nümbrecht,"Alte Poststraße, 51588 Nümbrecht",WBZ 10,WBZ 10 - Nümbrecht 1,Gisa Hauschildt,#FF6B6B,934,50.9031954,7.5445317
Am Eichenkamp,Am Eichenkamp,,51588,Nümbrecht,"Am Eichenkamp, 51588 Nümbrecht",WBZ 10,WBZ 10 - Nümbrecht 1,Gisa Hauschildt,#FF6B6B,934,50.897381,7.5409311
Am Pfaffenberg,Am Pfaffenberg,,51588,Nümbrecht,"Am Pfaffenberg, 51588 Nümbrecht",WBZ 10,WBZ 10 - Nümbrecht 1,Gisa Hauschildt,#FF6B6B,934,50.8984214,7.5436216
Am Sonnenhang,Am Sonnenhang,,51588,Nümbrecht,"Am Sonnenhang, 51588 Nümbrecht",WBZ 10,WBZ 10 - Nümbrecht 1,Gisa Hauschildt,#FF6B6B,934,50.8986384,7.5414467
Amselweg,Amselweg,,51588,Nümbrecht,"Amselweg, 51588 Nümbrecht",WBZ 10,WBZ 10 - Nümbrecht 1,Gisa Hauschildt,#FF6B6B,934,50.8974904,7.5423655
Bitzenweg,Bitzenweg,,51588,Nümbrecht,"Bitzenweg, 51588 Nümbrecht",WBZ 10,WBZ 10 - Nümbrecht 1,Gisa Hauschildt,#FF6B6B,934,50.9002009,7.5421976
Bornenweg,Bornenweg,,51588,Nümbrecht,"Bornenweg, 51588 Nümbrecht",WBZ 10,WBZ 10 - Nümbrecht 1,Gisa Hauschildt,#FF6B6B,934,50.9017034,7.5447469
Distelkamper Straße,Distelkamper Straße,,51588,Nümbrecht,"Distelkamper Straße, 51588 Nümbrecht",WBZ 10,WBZ 10 - Nümbrecht 1,Gisa Hauschildt,#FF6B6B,934,50.9036282,7.5453472
Dr.-Horst-Frese-Straße,Dr.-Horst-Frese-Straße,,51588,Nümbrecht,"Dr.-Horst-Frese-Straße, 51588 Nümbrecht",WBZ 10,WBZ 10 - Nümbrecht 1,Gisa Hauschildt,#FF6B6B,934,50.9009632,7.5492144
Dr.-Rieck-Straße,Dr.-Rieck-Straße,,51588,Nümbrecht,"Dr.-Rieck-Straße, 51588 Nümbrecht",WBZ 10,WBZ 10 - Nümbrecht 1,Gisa Hauschildt,#FF6B6B,934,50.9028606,7.5419391
Nümbrechter Straße,Nümbrechter Straße,,51588,Nümbrecht,"Nümbrechter Straße, 51588 Nümbrecht",WBZ 10,WBZ 10 - Nümbrecht 1,Gisa Hauschildt,#FF6B6B,934,50.9019229,7.5492234
Ebenbruch,Ebenbruch,,51588,Nümbrecht,"Ebenbruch, 51588 Nümbrecht",WBZ 10,WBZ 10 - Nümbrecht 1,Gisa Hauschildt,#FF6B6B,934,50.9010029,7.5509308
Finkenweg,Finkenweg,,51588,Nümbrecht,"Finkenweg, 51588 Nümbrecht",WBZ 10,WBZ 10 - Nümbrecht 1,Gisa Hauschildt,#FF6B6B,934,50.9000897,7.5417516
Jakob-Engels-Straße,Jakob-Engels-Straße,,51588,Nümbrecht,"Jakob-Engels-Straße, 51588 Nümbrecht",WBZ 10,WBZ 10 - Nümbrecht 1,Gisa Hauschildt,#FF6B6B,934,50.9011411,7.5437799
Meta-Herz-Straße,Meta-Herz-Straße,,51588,Nümbrecht,"Meta-Herz-Straße, 51588 Nümbrecht",WBZ 10,WBZ 10 - Nümbrecht 1,Gisa Hauschildt,#FF6B6B,934,50.9032281,7.542596
Nachtigallenweg,Nachtigallenweg,,51588,Nümbrecht,"Nachtigallenweg, 51588 Nümbrecht",WBZ 10,WBZ 10 - Nümbrecht 1,Gisa Hauschildt,#FF6B6B,934,50.8990181,7.5421419
Överchen,Överchen,,51588,Nümbrecht,"Överchen, 51588 Nümbrecht",WBZ 10,WBZ 10 - Nümbrecht 1,Gisa Hauschildt,#FF6B6B,934,50.9016819,7.5423512
Parkblick,Parkblick,,51588,Nümbrecht,"Parkblick, 51588 Nümbrecht",WBZ 10,WBZ 10 - Nümbrecht 1,Gisa Hauschildt,#FF6B6B,934,50.9033851,7.5464498
Am Ehrenmal,Am Ehrenmal,,51588,Nümbrecht,"Am Ehrenmal, 51588 Nümbrecht",WBZ 20,WBZ 20 - Nümbrecht 2,Jörg Reintsema,#C7CEEA,972,50.9083435,7.5450577
Auf der Geisshardt,Auf der Geisshardt,,51588,Nümbrecht,"Auf der Geisshardt, 51588 Nümbrecht",WBZ 20,WBZ 20 - Nümbrecht 2,Jörg Reintsema,#C7CEEA,972,50.9033978,7.5409481
Bahnhofstraße,Bahnhofstraße (Hsnrn. 2-20 gerade),2-20 gerade,51588,Nümbrecht,"Bahnhofstraße, 51588 Nümbrecht",WBZ 20,WBZ 20 - Nümbrecht 2,Jörg Reintsema,#C7CEEA,972,50.9087167,7.540799
Eckenbacher Hardt,Eckenbacher Hardt,,51588,Nümbrecht,"Eckenbacher Hardt, 51588 Nümbrecht",WBZ 20,WBZ 20 - Nümbrecht 2,Jörg Reintsema,#C7CEEA,972,50.909608,7.5396174
Gärtnerweg,Gärtnerweg,,51588,Nümbrecht,"Gärtnerweg, 51588 Nümbrecht",WBZ 20,WBZ 20 - Nümbrecht 2,Jörg Reintsema,#C7CEEA,972,50.9062557,7.5436556
Höhenstraße,Höhenstraße,,51588,Nümbrecht,"Höhenstraße, 51588 Nümbrecht",WBZ 20,WBZ 20 - Nümbrecht 2,Jörg Reintsema,#C7CEEA,972,50.910077,7.5451492
Hömerich,Hömerich,,51588,Nümbrecht,"Hömerich, 51588 Nümbrecht",WBZ 20,WBZ 20 - Nümbrecht 2,Jörg Reintsema,#C7CEEA,972,50.9108836,7.5414543
Huppichterother Kirchweg,Huppichterother Kirchweg,,51588,Nümbrecht,"Huppichterother Kirchweg, 51588 Nümbrecht",WBZ 20,WBZ 20 - Nümbrecht 2,Jörg Reintsema,#C7CEEA,972,50.9087664,7.5367495
Kapellenweg,Kapellenweg,,51588,Nümbrecht,"Kapellenweg, 51588 Nümbrecht",WBZ 20,WBZ 20 - Nümbrecht 2,Jörg Reintsema,#C7CEEA,972,50.9088631,7.5444605
Lindchenweg,Lindchenweg,,51588,Nümbrecht,"Lindchenweg, 51588 Nümbrecht",WBZ 20,WBZ 20 - Nümbrecht 2,Jörg Reintsema,#C7CEEA,972,50.9061896,7.5463694
Parkstraße,Parkstraße,,51588,Nümbrecht,"Parkstraße, 51588 Nümbrecht",WBZ 20,WBZ 20 - Nümbrecht 2,Jörg Reintsema,#C7CEEA,972,50.9035481,7.542955
Ritterpfad,Ritterpfad,,51588,Nümbrecht,"Ritterpfad, 51588 Nümbrecht",WBZ 20,WBZ 20 - Nümbrecht 2,Jörg Reintsema,#C7CEEA,972,50.9088345,7.5381163
Schloßstrasse,Schloßstrasse,,51588,Nümbrecht,"Schloßstrasse, 51588 Nümbrecht",WBZ 20,WBZ 20 - Nümbrecht 2,Jörg Reintsema,#C7CEEA,972,50.9096364,7.5431063
Spreitger Weg,Spreitger Weg,,51588,Nümbrecht,"Spreitger Weg, 51588 Nümbrecht",WBZ 20,WBZ 20 - Nümbrecht 2,Jörg Reintsema,#C7CEEA,972,50.90696,7.5453454
Weiherstraße,Weiherstraße,,51588,Nümbrecht,"Weiherstraße, 51588 Nümbrecht",WBZ 20,WBZ 20 - Nümbrecht 2,Jörg Reintsema,#C7CEEA,972,50.9039982,7.5448432
Spreitgen,Spreitgen,,51588,Nümbrecht,"Spreitgen, 51588 Nümbrecht",WBZ 20,WBZ 20 - Nümbrecht 2,Jörg Reintsema,#C7CEEA,972,50.9125507,7.5488946
Am Breiten Stück,Am Breiten Stück,,51588,Nümbrecht,"Am Breiten Stück, 51588 Nümbrecht",WBZ 30,WBZ 30 - Nümbrecht 3,Dagmar Schmitz,#FFDAB9,848,50.9065421,7.5413184
Am Hof,Am Hof,,51588,Nümbrecht,"Am Hof, 51588 Nümbrecht",WBZ 30,WBZ 30 - Nümbrecht 3,Dagmar Schmitz,#FFDAB9,848,50.9016812,7.5396983
Anemonenweg,Anemonenweg,,51588,Nümbrecht,"Anemonenweg, 51588 Nümbrecht",WBZ 30,WBZ 30 - Nümbrecht 3,Dagmar Schmitz,#FFDAB9,848,50.903157,7.5345047
Dorfplatz,Dorfplatz,,51588,Nümbrecht,"Dorfplatz, 51588 Nümbrecht",WBZ 30,WBZ 30 - Nümbrecht 3,Dagmar Schmitz,#FFDAB9,848,50.9032372,7.5416675
Eckenbacher Straße,Eckenbacher Straße,,51588,Nümbrecht,"Eckenbacher Straße, 51588 Nümbrecht",WBZ 30,WBZ 30 - Nümbrecht 3,Dagmar Schmitz,#FFDAB9,848,50.9066834,7.5363036
Erlenweg,Erlenweg,,51588,Nümbrecht,"Erlenweg, 51588 Nümbrecht",WBZ 30,WBZ 30 - Nümbrecht 3,Dagmar Schmitz,#FFDAB9,848,50.9060209,7.5373575
Feldstraße,Feldstraße,,51588,Nümbrecht,"Feldstraße, 51588 Nümbrecht",WBZ 30,WBZ 30 - Nümbrecht 3,Dagmar Schmitz,#FFDAB9,848,50.9068846,7.5407896
Friedhofstraße,Friedhofstraße,,51588,Nümbrecht,"Friedhofstraße, 51588 Nümbrecht",WBZ 30,WBZ 30 - Nümbrecht 3,Dagmar Schmitz,#FFDAB9,848,50.9061651,7.5385063
Glockenblumenweg,Glockenblumenweg,,51588,Nümbrecht,"Glockenblumenweg, 51588 Nümbrecht",WBZ 30,WBZ 30 - Nümbrecht 3,Dagmar Schmitz,#FFDAB9,848,50.902855,7.534771
Gouvieuxstraße,Gouvieuxstraße,,51588,Nümbrecht,"Gouvieuxstraße, 51588 Nümbrecht",WBZ 30,WBZ 30 - Nümbrecht 3,Dagmar Schmitz,#FFDAB9,848,50.9036999,7.5348045
Hauptstraße,Hauptstraße,,51588,Nümbrecht,"Hauptstraße, 51588 Nümbrecht",WBZ 30,WBZ 30 - Nümbrecht 3,Dagmar Schmitz,#FFDAB9,848,50.9020173,7.5409326
Heckenrosenweg,Heckenrosenweg,,51588,Nümbrecht,"Heckenrosenweg, 51588 Nümbrecht",WBZ 30,WBZ 30 - Nümbrecht 3,Dagmar Schmitz,#FFDAB9,848,50.9022486,7.5369569
Im Wiesengrund,Im Wiesengrund,,51588,Nümbrecht,"Im Wiesengrund, 51588 Nümbrecht",WBZ 30,WBZ 30 - Nümbrecht 3,Dagmar Schmitz,#FFDAB9,848,50.9060724,7.5406597
In der Delle,In der Delle,,51588,Nümbrecht,"In der Delle, 51588 Nümbrecht",WBZ 30,WBZ 30 - Nümbrecht 3,Dagmar Schmitz,#FFDAB9,848,50.9298101,7.4948282
Kornblumenweg,Kornblumenweg,,51588,Nümbrecht,"Kornblumenweg, 51588 Nümbrecht",WBZ 30,WBZ 30 - Nümbrecht 3,Dagmar Schmitz,#FFDAB9,848,50.9027287,7.5363904
Leo-Baer-Straße,Leo-Baer-Straße,,51588,Nümbrecht,"Leo-Baer-Straße, 51588 Nümbrecht",WBZ 30,WBZ 30 - Nümbrecht 3,Dagmar Schmitz,#FFDAB9,848,50.9042478,7.5385338
Lilienweg,Lilienweg,,51588,Nümbrecht,"Lilienweg, 51588 Nümbrecht",WBZ 30,WBZ 30 - Nümbrecht 3,Dagmar Schmitz,#FFDAB9,848,50.9023145,7.5376838
Lina-Friedrichs-Straße,Lina-Friedrichs-Straße,,51588,Nümbrecht,"Lina-Friedrichs-Straße, 51588 Nümbrecht",WBZ 30,WBZ 30 - Nümbrecht 3,Dagmar Schmitz,#FFDAB9,848,50.9030022,7.5414121
Marktstraße,Marktstraße,,51588,Nümbrecht,"Marktstraße, 51588 Nümbrecht",WBZ 30,WBZ 30 - Nümbrecht 3,Dagmar Schmitz,#FFDAB9,848,50.9026605,7.5391761
Mateh-Yehuda-Straße,Mateh-Yehuda-Straße,,51588,Nümbrecht,"Mateh-Yehuda-Straße, 51588 Nümbrecht",WBZ 30,WBZ 30 - Nümbrecht 3,Dagmar Schmitz,#FFDAB9,848,50.9041152,7.5360799
Rotkleeweg,Rotkleeweg,,51588,Nümbrecht,"Rotkleeweg, 51588 Nümbrecht",WBZ 30,WBZ 30 - Nümbrecht 3,Dagmar Schmitz,#FFDAB9,848,50.9029227,7.5335673
Sängertshöhe,Sängertshöhe,,51588,Nümbrecht,"Sängertshöhe, 51588 Nümbrecht",WBZ 30,WBZ 30 - Nümbrecht 3,Dagmar Schmitz,#FFDAB9,848,50.9036686,7.5300761
Sängertsweg,Sängertsweg,,51588,Nümbrecht,"Sängertsweg, 51588 Nümbrecht",WBZ 30,WBZ 30 - Nümbrecht 3,Dagmar Schmitz,#FFDAB9,848,50.9030308,7.5300913
Schulstraße,Schulstraße,,51588,Nümbrecht,"Schulstraße, 51588 Nümbrecht",WBZ 30,WBZ 30 - Nümbrecht 3,Dagmar Schmitz,#FFDAB9,848,50.9012939,7.538464
Schustergasse,Schustergasse,,51588,Nümbrecht,"Schustergasse, 51588 Nümbrecht",WBZ 30,WBZ 30 - Nümbrecht 3,Dagmar Schmitz,#FFDAB9,848,50.9026286,7.5410559
Wiesenstraße,Wiesenstraße,,51588,Nümbrecht,"Wiesenstraße, 51588 Nümbrecht",WBZ 30,WBZ 30 - Nümbrecht 3,Dagmar Schmitz,#FFDAB9,848,50.9057286,7.537209
Akeleiweg,Akeleiweg,,51588,Nümbrecht,"Akeleiweg, 51588 Nümbrecht",WBZ 40,WBZ 40 - Nümbrecht 4,Jörg Menne,#E8B4B8,976,50.9007148,7.5364263
Arnikaweg,Arnikaweg,,51588,Nümbrecht,"Arnikaweg, 51588 Nümbrecht",WBZ 40,WBZ 40 - Nümbrecht 4,Jörg Menne,#E8B4B8,976,50.9017368,7.5327243
Breidenbacher Weg,Breidenbacher Weg,,51588,Nümbrecht,"Breidenbacher Weg, 51588 Nümbrecht",WBZ 40,WBZ 40 - Nümbrecht 4,Jörg Menne,#E8B4B8,976,50.8996157,7.5383842
Fingerhutweg,Fingerhutweg,,51588,Nümbrecht,"Fingerhutweg, 51588 Nümbrecht",WBZ 40,WBZ 40 - Nümbrecht 4,Jörg Menne,#E8B4B8,976,50.9012113,7.5330299
Goldnesselweg,Goldnesselweg,,51588,Nümbrecht,"Goldnesselweg, 51588 Nümbrecht",WBZ 40,WBZ 40 - Nümbrecht 4,Jörg Menne,#E8B4B8,976,50.9023403,7.5323643
Holunderweg,Holunderweg,,51588,Nümbrecht,"Holunderweg, 51588 Nümbrecht",WBZ 40,WBZ 40 - Nümbrecht 4,Jörg Menne,#E8B4B8,976,50.8982713,7.5333604
Lupinenweg,Lupinenweg,,51588,Nümbrecht,"Lupinenweg, 51588 Nümbrecht",WBZ 40,WBZ 40 - Nümbrecht 4,Jörg Menne,#E8B4B8,976,50.8996112,7.5347881
Maiglöckchenweg,Maiglöckchenweg,,51588,Nümbrecht,"Maiglöckchenweg, 51588 Nümbrecht",WBZ 40,WBZ 40 - Nümbrecht 4,Jörg Menne,#E8B4B8,976,50.902156,7.532058
Margeritenweg,Margeritenweg,,51588,Nümbrecht,"Margeritenweg, 51588 Nümbrecht",WBZ 40,WBZ 40 - Nümbrecht 4,Jörg Menne,#E8B4B8,976,50.9018758,7.5329861
Mohnweg,Mohnweg,,51588,Nümbrecht,"Mohnweg, 51588 Nümbrecht",WBZ 40,WBZ 40 - Nümbrecht 4,Jörg Menne,#E8B4B8,976,50.9019175,7.5351828
Narzissenweg,Narzissenweg,,51588,Nümbrecht,"Narzissenweg, 51588 Nümbrecht",WBZ 40,WBZ 40 - Nümbrecht 4,Jörg Menne,#E8B4B8,976,50.8994564,7.5361382
Orchideenweg,Orchideenweg,,51588,Nümbrecht,"Orchideenweg, 51588 Nümbrecht",WBZ 40,WBZ 40 - Nümbrecht 4,Jörg Menne,#E8B4B8,976,50.8997293,7.5369443
Schlüsselblumenweg,Schlüsselblumenweg,,51588,Nümbrecht,"Schlüsselblumenweg, 51588 Nümbrecht",WBZ 40,WBZ 40 - Nümbrecht 4,Jörg Menne,#E8B4B8,976,50.9011471,7.5368298
Schmiedeweg,Schmiedeweg,,51588,Nümbrecht,"Schmiedeweg, 51588 Nümbrecht",WBZ 40,WBZ 40 - Nümbrecht 4,Jörg Menne,#E8B4B8,976,50.9006075,7.5386394
Thymianweg,Thymianweg,,51588,Nümbrecht,"Thymianweg, 51588 Nümbrecht",WBZ 40,WBZ 40 - Nümbrecht 4,Jörg Menne,#E8B4B8,976,50.9010308,7.5350121
Veilchenweg,Veilchenweg,,51588,Nümbrecht,"Veilchenweg, 51588 Nümbrecht",WBZ 40,WBZ 40 - Nümbrecht 4,Jörg Menne,#E8B4B8,976,50.9025612,7.5327291
Wildrosenweg,Wildrosenweg,,51588,Nümbrecht,"Wildrosenweg, 51588 Nümbrecht",WBZ 40,WBZ 40 - Nümbrecht 4,Jörg Menne,#E8B4B8,976,50.8992156,7.5337845
Göpringhausen,Göpringhausen,,51588,Nümbrecht,"Göpringhausen, 51588 Nümbrecht",WBZ 50,WBZ 50 - Homburg-Bröl,Markus Lang,#95E1D3,927,50.9099452,7.5215947
Göpringhauser Straße,"Göpringhauser Straße (Hsnrn.3-19, 10-36)","3-19, 10-36",51588,Nümbrecht,"Göpringhauser Straße, 51588 Nümbrecht",WBZ 50,WBZ 50 - Homburg-Bröl,Markus Lang,#95E1D3,927,50.9094481,7.5223509
Heddinghausen,Heddinghausen,,51588,Nümbrecht,"Heddinghausen, 51588 Nümbrecht",WBZ 50,WBZ 50 - Homburg-Bröl,Markus Lang,#95E1D3,927,50.9027511,7.5093826
Homburg-Bröl,Homburg-Bröl,,51588,Nümbrecht,"Homburg-Bröl, 51588 Nümbrecht",WBZ 50,WBZ 50 - Homburg-Bröl,Markus Lang,#95E1D3,927,50.9121458,7.5296313
Bahnhofstraße,"Bahnhofstraße (Hsnrn. 1-11, 22-26)","1-11, 22-26",51588,Nümbrecht,"Bahnhofstraße, 51588 Nümbrecht",WBZ 50,WBZ 50 - Homburg-Bröl,Markus Lang,#95E1D3,927,50.9087167,7.540799
Göpringhauser Straße,"Göpringhauser Straße (Hsnrn. 1, 2-8)","1, 2-8",51588,Nümbrecht,"Göpringhauser Straße, 51588 Nümbrecht",WBZ 50,WBZ 50 - Homburg-Bröl,Markus Lang,#95E1D3,927,50.9094481,7.5223509
Huppichteroth,Huppichteroth,,51588,Nümbrecht,"Huppichteroth, 51588 Nümbrecht",WBZ 50,WBZ 50 - Homburg-Bröl,Markus Lang,#95E1D3,927,50.9170035,7.5291192
Holsteinsmühle,Holsteinsmühle,,51588,Nümbrecht,"Holsteinsmühle, 51588 Nümbrecht",WBZ 50,WBZ 50 - Homburg-Bröl,Markus Lang,#95E1D3,927,50.9187406,7.5400381
Schloss Homburg,Schloss Homburg,,51588,Nümbrecht,"Schloss Homburg, 51588 Nümbrecht",WBZ 50,WBZ 50 - Homburg-Bröl,Markus Lang,#95E1D3,927,50.9157024,7.5368398
Abbenroth,Abbenroth,,51588,Nümbrecht,"Abbenroth, 51588 Nümbrecht",WBZ 60,WBZ 60 - Bierenbachtal West,Ulrike Herrgesell,#F38181,940,50.934071,7.5467739
Ahornweg,Ahornweg,,51588,Nümbrecht,"Ahornweg, 51588 Nümbrecht",WBZ 60,WBZ 60 - Bierenbachtal West,Ulrike Herrgesell,#F38181,940,50.9307522,7.5533574
Alte Mühle,Alte Mühle,,51588,Nümbrecht,"Alte Mühle, 51588 Nümbrecht",WBZ 60,WBZ 60 - Bierenbachtal West,Ulrike Herrgesell,#F38181,940,50.9294013,7.5572247
Am Jungholz,Am Jungholz,,51588,Nümbrecht,"Am Jungholz, 51588 Nümbrecht",WBZ 60,WBZ 60 - Bierenbachtal West,Ulrike Herrgesell,#F38181,940,50.9302637,7.5527547
Auf der Wand,Auf der Wand,,51588,Nümbrecht,"Auf der Wand, 51588 Nümbrecht",WBZ 60,WBZ 60 - Bierenbachtal West,Ulrike Herrgesell,#F38181,940,50.9320411,7.5532329
Bocksiefen,Bocksiefen,,51588,Nümbrecht,"Bocksiefen, 51588 Nümbrecht",WBZ 60,WBZ 60 - Bierenbachtal West,Ulrike Herrgesell,#F38181,940,50.9240459,7.5505285
Denkmalweg,Denkmalweg,,51588,Nümbrecht,"Denkmalweg, 51588 Nümbrecht",WBZ 60,WBZ 60 - Bierenbachtal West,Ulrike Herrgesell,#F38181,940,50.9292726,7.5497417
Drosselweg,Drosselweg,,51588,Nümbrecht,"Drosselweg, 51588 Nümbrecht",WBZ 60,WBZ 60 - Bierenbachtal West,Ulrike Herrgesell,#F38181,940,50.9276417,7.5530392
Eichelchen,Eichelchen,,51588,Nümbrecht,"Eichelchen, 51588 Nümbrecht",WBZ 60,WBZ 60 - Bierenbachtal West,Ulrike Herrgesell,#F38181,940,50.9246905,7.549471
Eichenweg,Eichenweg,,51588,Nümbrecht,"Eichenweg, 51588 Nümbrecht",WBZ 60,WBZ 60 - Bierenbachtal West,Ulrike Herrgesell,#F38181,940,50.9346658,7.550061
Eichfeld,Eichfeld,,51588,Nümbrecht,"Eichfeld, 51588 Nümbrecht",WBZ 60,WBZ 60 - Bierenbachtal West,Ulrike Herrgesell,#F38181,940,50.9283618,7.551361
Grumether Straße,Grumether Straße,,51588,Nümbrecht,"Grumether Straße, 51588 Nümbrecht",WBZ 60,WBZ 60 - Bierenbachtal West,Ulrike Herrgesell,#F38181,940,50.9271352,7.5483219
Hinter der Nörr,Hinter der Nörr,,51588,Nümbrecht,"Hinter der Nörr, 51588 Nümbrecht",WBZ 60,WBZ 60 - Bierenbachtal West,Ulrike Herrgesell,#F38181,940,50.9298991,7.5507234
Im Alten Feld,Im Alten Feld,,51588,Nümbrecht,"Im Alten Feld, 51588 Nümbrecht",WBZ 60,WBZ 60 - Bierenbachtal West,Ulrike Herrgesell,#F38181,940,50.9238592,7.5467486
In der Holl,In der Holl,,51588,Nümbrecht,"In der Holl, 51588 Nümbrecht",WBZ 60,WBZ 60 - Bierenbachtal West,Ulrike Herrgesell,#F38181,940,50.9240688,7.5484939
Jürgesweg,Jürgesweg,,51588,Nümbrecht,"Jürgesweg, 51588 Nümbrecht",WBZ 60,WBZ 60 - Bierenbachtal West,Ulrike Herrgesell,#F38181,940,50.9338417,7.5531785
Kalkofener Straße,Kalkofener Straße,,51588,Nümbrecht,"Kalkofener Straße, 51588 Nümbrecht",WBZ 60,WBZ 60 - Bierenbachtal West,Ulrike Herrgesell,#F38181,940,50.9223896,7.5489075
Kirschbaumweg,Kirschbaumweg,,51588,Nümbrecht,"Kirschbaumweg, 51588 Nümbrecht",WBZ 60,WBZ 60 - Bierenbachtal West,Ulrike Herrgesell,#F38181,940,50.9311354,7.5549689
Kleefeld,Kleefeld,,51588,Nümbrecht,"Kleefeld, 51588 Nümbrecht",WBZ 60,WBZ 60 - Bierenbachtal West,Ulrike Herrgesell,#F38181,940,50.925996,7.5484909
Meisenweg,Meisenweg,,51588,Nümbrecht,"Meisenweg, 51588 Nümbrecht",WBZ 60,WBZ 60 - Bierenbachtal West,Ulrike Herrgesell,#F38181,940,50.9268715,7.5521083
Mühlenweg,Mühlenweg,,51588,Nümbrecht,"Mühlenweg, 51588 Nümbrecht",WBZ 60,WBZ 60 - Bierenbachtal West,Ulrike Herrgesell,#F38181,940,50.9241987,7.5501742
Seinscheweg,Seinscheweg,,51588,Nümbrecht,"Seinscheweg, 51588 Nümbrecht",WBZ 60,WBZ 60 - Bierenbachtal West,Ulrike Herrgesell,#F38181,940,50.9332235,7.5523718
